asset_id,model,serial_number,year_manufactured,funding,date_received,warranty_expiry,contract_expiry,warranty_notes,service_agent,department_name,location,type,price
U-MM177,NULL,NULL,NULL,DANIDA,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Gymnasium 1",Biomedical,NULL
U-MM178,btl-5000,NULL,NULL,DANIDA,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM179,"dynatron 438",438-01-192,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM180,NULL,NULL,NULL,DANIDA,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Gymnasium 1",Biomedical,NULL
U-MM181,"ergomedic 818e",fe568511379312,NULL,DANIDA,2007-01-01,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM182,"Cycle PEC-3000",V13000Z00529,NULL,DANIDA,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM194,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM195,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Veranda 1",Biomedical,NULL
U-MM196,NULL,NULL,NULL,"Haukeland University",NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Occupational Therapy 2",Biomedical,NULL
U-MM197,55003-35,0030,NULL,"Haukeland University",2002-01-01,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Occupational Therapy 2",Biomedical,NULL
U-MM198,NULL,NULL,NULL,"Haukeland University",NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Occupational Therapy 2",Biomedical,NULL
U-MM199,HCALI0800,69190,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Occupational Therapy 2",Biomedical,NULL
U-MM200,NULL,NULL,NULL,NULL,2005-01-01,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Occupational Therapy 2",Biomedical,NULL
U-MM201,N604,008170655,NULL,"Private Donor",NULL,NULL,NULL,NULL,NULL,"MMH Physiotherapy","Occupational Therapy 2",Biomedical,NULL
U-MM183,NULL,0-30047,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Syringing 1",Biomedical,NULL
U-MM184,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Syringing 1",Biomedical,NULL
U-MM185,2F-020-02-P,7620,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Clinic 1 1",Biomedical,NULL
U-MM186,2F-020-02-P,7614,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Audiology Room  1",Biomedical,NULL
U-MM187,"5610 Assens Denmark",3704896,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Audiology Room  1",Biomedical,NULL
U-MM188,18099,NULL,NULL,"Impact East Africa",2008-01-01,NULL,NULL,NULL,NULL,"MMH ENT","ENT Hearing Aid Laboratory 1",Biomedical,NULL
U-MM189,NULL,2008-08-1453,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","ENT Hearing Aid Laboratory 1",Biomedical,NULL
U-MM190,5000t,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","ENT Hearing Aid Laboratory 1",Biomedical,NULL
U-MM191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ENT","ENT Audiology Clinic 1",Biomedical,NULL
U-MM192,NULL,663760,NULL,NULL,2007-01-01,NULL,NULL,NULL,"Guy Mark UK Ltd.","MMH ENT","ENT Audiology Clinic 1",Biomedical,NULL
U-MM193,eb-350i,8093,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ENT","ENT Audiology Clinic 1",Biomedical,NULL
U-MM202,M793-220,M704WL230-1003,NULL,"Private Donor",2012-01-01,NULL,NULL,NULL,NULL,"MMH ENT","Minor OT 1",Biomedical,NULL
U-MM203,NULL,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Minor OT 1",Biomedical,NULL
U-MM204,"D-68642 Hustak",NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Minor OT 1",Biomedical,NULL
U-MM205,"Mach 115",1151125000,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Minor OT 1",Biomedical,NULL
U-MM206,"excel 210se",amaa00422,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Minor OT 1",Biomedical,NULL
U-MM207,NULL,53253,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Minor OT 1",Biomedical,NULL
U-MM208,W-9700S,050940-11,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","ENT Sluice Room 1",Biomedical,NULL
U-MM209,PFC145W,7DLD602007010423094,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Ward 1",Biomedical,NULL
U-MM210,976,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Ward 1",Biomedical,NULL
U-MM211,976,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Ward 1",Biomedical,NULL
U-MM212,976,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Ward 1",Biomedical,NULL
U-MM213,976,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Ward 1",Biomedical,NULL
U-MM214,976,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Ward 1",Biomedical,NULL
U-MM215,976,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Ward 1",Biomedical,NULL
U-MM220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Main Corridor 1",Biomedical,NULL
U-MM229,PD-FA,1310134,NULL,"Private Donor",2007-01-01,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM230,"Opmi Pico",6627101288,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM231,NULL,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM232,NULL,0473,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM233,TR200,0546,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM234,Top-1800,T1800310030001,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM235,Aeon7500A,AEON7500A(E)ZKYZ022,NULL,"Impact East Africa",2011-01-01,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM236,NULL,2164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM237,NULL,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM238,AX-H900,09224,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM239,AB-250B,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theater 2",Biomedical,NULL
U-MM241,NULL,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM242,NULL,NULL,NULL,Chara,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM263,YB.DX23D,NULL,NULL,"Impact East Africa",NULL,NULL,NULL,NULL,NULL,"MMH ENT","Sea View Theatre 2",Biomedical,NULL
U-MM463,"GDZ 9651A",2729045,2007,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ENT","Minor OT 1",Biomedical,NULL
U-MM216,Lapetite,NULL,NULL,CDC,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM217,W-101,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM218,713,865042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Acupuncture Clinic 1",Biomedical,NULL
U-MM219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Acupuncture Clinic 1",Biomedical,NULL
U-MM221,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM222,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM223,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM225,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM226,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM227,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM228,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Acupuncture","Ward 1",Biomedical,NULL
U-MM243,225,02930000178,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM244,"ivent 201",iv17674,NULL,MOH,2007-01-01,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM245,"new askir 30",11149,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM246,f170,0-70787,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM247,f170,0-70780,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM248,SG-R210,NULL,NULL,"Bombay Bazaar",NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM249,"new life elite",951992,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM250,n180,20064657,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM251,lf-h-10a,0-7090181,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM252,8021,8210569,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM253,n-200,0-57704a0389,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM254,n180,20213345,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM255,apd2,0-015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM256,3800,6050-0003-731,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM257,"Lifepak 9",0010043,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM258,78660A,20EEB82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM259,PVM-2701,00103093,NULL,MOH,2012-01-01,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM260,V450/T,014897,NULL,"Private Donor",2009-01-01,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM261,"Siaetron 3000",0103090,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM262,"big ben round",NULL,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM264,PVM-2701,0103092,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM265,"big ben round",NULL,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM266,RM3000TFT,SM0000FQ,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM267,PVM-2701,0103108,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM268,"big ben round",NULL,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM269,P-600,C60601-1-2:1993,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM270,6K6001B,11120220,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM271,"Siaetron 3000",0003FQ,NULL,MOH,NULL,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM272,"Lifepak 9",00004111,NULL,NULL,NULL,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM273,PVM-2701,0103094,2012,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM274,TobiClinic,2083,NULL,MOH,2007-01-01,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM275,P-600,IEC60601-1-2:1993,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM276,Nuvo,0413,NULL,MOH,2007-01-01,NULL,NULL,NULL,NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM277,URIT-910A,910A00640,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM278,"Easy Blood Gas",0312030001,NULL,MOH,0000-00-00,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM279,"CardiofaxV ECG-1550K",NULL,NULL,MOH,2012-01-01,NULL,NULL,"1 year",NULL,"MMH ICU","ICU 2",Biomedical,NULL
U-MM282,"Bucky Diagnost 984850029301",2307,NULL,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH X-Ray","X-Ray Department 2",Biomedical,NULL
U-MM283,"Optimax 2010 1160-1-0000",116010-0812-3651,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH X-Ray","X-Ray Department 2",Biomedical,NULL
U-MM284,"cold light illuminators",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH X-Ray","X-Ray Department 2",Biomedical,NULL
U-MM285,Planilux,08194-95-B,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH X-Ray","X-Ray Department 2",Biomedical,NULL
U-MM286,"07093110 Axiom Iconos R100",2013,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH X-Ray","X-Ray Department 2",Biomedical,NULL
U-MM287,"Sonoace X8",B02508300004464,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Ultrasound","Ultrasound Room 2",Biomedical,NULL
U-MM507,SSD-4000,M04099,NULL,"Associazione Medica Forlivese",NULL,NULL,NULL,NULL,NULL,"MMH Ultrasound","Ultrasound Room 1",Biomedical,NULL
U-MM508,EUB-555,19896605,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Ultrasound","Ultrasound Room 1",Biomedical,NULL
U-MM509,M2540A,US20505805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Ultrasound","Ultrasound Room 1",Biomedical,NULL
U-MM288,NULL,NULL,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Male Medical Ward","Staff Room 2",Biomedical,NULL
U-MM289,NULL,110809184054,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH Male Medical Ward","Staff Room 2",Biomedical,NULL
U-MM290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Male Medical Ward","Staff Room 2",Biomedical,NULL
U-MM291,NULL,NULL,NULL,"Private Donor",NULL,NULL,NULL,NULL,NULL,"MMH Male Medical Ward","Staff Room 2",Biomedical,NULL
U-MM296,SVC-SOOON,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM297,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM298,A3-214-535,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM299,yzx,003005,NULL,MOH,2010-01-01,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM300,yzx,0-25701,NULL,MOH,2010-01-01,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM301,NULL,2280,NULL,NULL,2005-01-01,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM302,tr50n,NULL,NULL,"Government of Egypt",2008-01-01,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM303,1911,196795,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM304,oy-00880,ithc77926,NULL,"Lab Equip",2010-01-01,NULL,NULL,NULL,NULL,"MMH Dental","Main Building Dental Clinic 2",Biomedical,NULL
U-MM505,R52,v1082986,2011,Midmark,NULL,NULL,NULL,NULL,NULL,"MMH Dental","Dental Clinic Old Mapinduzi 1",Biomedical,NULL
U-MM506,029-5135-00,V1084306,2011,Midmark,NULL,NULL,NULL,NULL,NULL,"MMH Dental","Dental Clinic Old Mapinduzi 1",Biomedical,NULL
U-MM305,102006,0072388,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM306,yp-90a,0-6070104033,2007,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM307,yp-90a,0-6070104014,2007,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM309,0706CAOS,NULL,NULL,"Haukeland University",2012-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM310,"c2vha-1 isolette c2000",PN-2436,NULL,"Haukeland University",2012-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM311,102006,0072363,NULL,"Haukeland University",2012-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM312,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM313,"c2vha-1 isolette c2000",uv01962,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM314,"c2vha-1 isolette c2000",UV01961,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM318,1020006,0072376,NULL,"Haukeland University",2012-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM319,1020006,0072377,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM320,1020006,0072392,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM321,1020006,0072418,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM322,Premium,8006GR/ST,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM323,"vario 18",1343159,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM324,"set rad-8",NULL,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM325,"set rad-8",NULL,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM326,"set rad-8",NULL,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM327,d-f-2858,f003-c2-0007,2000,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM328,XHZ-90,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM329,Neoblue,21949,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM330,AL35277,8205023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM331,Neoblue,21950,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM332,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM334,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH Neonatal","Neonatal Unit 1",Biomedical,NULL
U-MM315,xp-90a,0-6070104009,2007,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Neonatalogy","Neonatal Unit 1",Biomedical,NULL
U-MM316,"set rad-8",NULL,NULL,"Haukeland University",2011-01-01,NULL,NULL,NULL,NULL,"MMH Neonatalogy","Neonatal Unit 1",Biomedical,NULL
U-MM317,yp-90a,0-6070104008,2007,NULL,2010-01-01,NULL,NULL,NULL,NULL,"MMH Neonatalogy","Neonatal Unit 1",Biomedical,NULL
U-MM335,"Force 40s",RIL1955,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM336,NULL,110808132050,NULL,MOH,2012-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM337,Aeon7500A,AEON7500A(E)ZKY2017,NULL,MOH,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM338,2080,413177016,NULL,MOH,1995-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM339,J4,J4368,NULL,MOH,NULL,NULL,NULL,NULL,NULL,"MMH OR","OT2 3",Biomedical,NULL
U-MM340,IRIS70,106502410630000,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM341,IRIS70,34641,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM342,AH-M1,M800MB01152,NULL,MOH,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM343,"big ben round",NULL,NULL,MOH,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM344,D7MX,20542-16-031,2009,MOH,2012-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM345,Aeon7500A,AEON7500A(E)ZKY2023,NULL,MOH,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM346,3500,67042,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM347,"Masimo Set RAD-5",537579,2007,"Haukeland University",2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM348,AH-M1,M017A000117,NULL,MOH,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM349,310356/03,2067,2010,MOH,2010-01-01,NULL,NULL,NULL,Anudha,"MMH OR","OT1 3",Biomedical,NULL
U-MM350,LJ-S,108400/201004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM351,GD350-P,3250683,2009,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT1 3",Biomedical,NULL
U-MM352,LX-3,HI2046,2010,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT2 3",Biomedical,NULL
U-MM353,"Opmics, KBC/KBD002",CMKBE003,NULL,NULL,2012-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT2 3",Biomedical,NULL
U-MM354,eco-22-gen-cx9,cx9g-1002001,NULL,MOH,2009-01-01,NULL,NULL,NULL,"Lab Equip","MMH OR","OT3 3",Biomedical,NULL
U-MM355,ECO-MCART-CX9,CX9MCART-7002001,NULL,MOH,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT3 3",Biomedical,NULL
U-MM356,"IRIS, 23085",NULL,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT3 3",Biomedical,NULL
U-MM357,23085,LKS7,NULL,NULL,2009-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT3 3",Biomedical,NULL
U-MM358,"lifepak 9b",000-10928,NULL,NULL,2002-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT3 3",Biomedical,NULL
U-MM359,"BMS4400 Powerplus",10954007,NULL,NULL,2011-01-01,NULL,NULL,NULL,NULL,"MMH OR","OT3 3",Biomedical,NULL
U-MM360,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"MMH OR","OT3 3",Biomedical,NULL
