asset	status	utilization	remarks
U-MM140	Fully Functional	Normal	NULL
U-MM141	Fully Functional	Normal	NULL
U-MM142	Fully Functional	Normal	NULL
U-MM143	Fully Functional	Normal	NULL
U-MM144	Fully Functional	Normal	NULL
U-MM145	Fully Functional	Normal	NULL
U-MM146	Fully Functional	Normal	NULL
U-MM147	Fully Functional	Normal	NULL
U-MM148	Not Functional	No Utilization	NULL
U-MM149	Fully Functional	Normal	NULL
U-MM150	Fully Functional	Normal	NULL
U-MM151	Fully Functional	Normal	NULL
U-MM152	Not Functional	No Utilization	NULL
U-MM153	Not Functional	No Utilization	NULL
U-MM154	Needs Minor Repair	Normal	metal frame under mattresses broken
U-MM155	Needs Minor Repair	Normal	metal frame under mattresses broken
U-MM156	Needs Minor Repair	Normal	metal frame under mattresses broken
U-MM157	Fully Functional	Normal	with child cuff
U-MM158	Not Functional	No Utilization	w/o cuff
U-MM159	Fully Functional	Normal	with child cuff
U-MM160	Not Functional	No Utilization	with child cuff
U-MM161	Fully Functional	No Utilization	this is a spare - another one is in use, technical supoort: 8001300845
U-MM162	Fully Functional	Very High	NULL
U-MM163	Fully Functional	Normal	NULL
U-MM164	Fully Functional	Very High	NULL
U-MM165	Fully Functional	Very High	repaired by danida
U-MM166	Fully Functional	Normal	NULL
U-MM167	Fully Functional	Normal	NULL
U-MM168	Fully Functional	Normal	NULL
U-MM169	Fully Functional	Very High	NULL
U-MM170	Fully Functional	Very High	NULL
U-MM171	Fully Functional	Very High	NULL
U-MM172	Fully Functional	Normal	NULL
U-MM173	Fully Functional	Normal	NULL
U-MM174	Fully Functional	Very High	NULL
U-MM175	Fully Functional	Very High	NULL
U-MM176	Fully Functional	Very High	NULL
U-MM177	Needs Minor Repair	Very Low	NULL
U-MM178	Not Functional	No Utilization	NULL
U-MM179	Not Functional	No Utilization	broken electrodes
U-MM180	Fully Functional	Normal	NULL
U-MM181	Not Functional	No Utilization	NULL
U-MM182	Fully Functional	Normal	NULL
U-MM183	Not Functional	No Utilization	NULL
U-MM184	Fully Functional	Normal	NULL
U-MM185	Fully Functional	Normal	NULL
U-MM186	Fully Functional	Normal	NULL
U-MM187	Fully Functional	Normal	NULL
U-MM188	Fully Functional	Very Low	info at puretone.net
U-MM189	Fully Functional	Very Low	NULL
U-MM190	Fully Functional	Very Low	NULL
U-MM191	Fully Functional	Normal	NULL
U-MM192	Needs Minor Repair	No Utilization	need to buy rechargeable battery with 4V or AA battery. Printer not working. Guy Mark Contact +44[0]1384410848 www.guymark.com
U-MM193	Not Functional	No Utilization	NULL
U-MM194	Fully Functional	Normal	NULL
U-MM195	Fully Functional	Normal	NULL
U-MM196	Fully Functional	Normal	NULL
U-MM197	Fully Functional	Normal	NULL
U-MM198	Fully Functional	Normal	NULL
U-MM199	Fully Functional	Normal	NULL
U-MM200	Fully Functional	Normal	NULL
U-MM201	Fully Functional	Normal	NULL
U-MM202	Fully Functional	Normal	Donor: Dr Drysdale, a.drysdale2@gmail.com
U-MM203	Fully Functional	Normal	NULL
U-MM204	Fully Functional	Normal	NULL
U-MM205	Fully Functional	Normal	NULL
U-MM206	Not Functional	No Utilization	NULL
U-MM207	Fully Functional	Normal	NULL
U-MM208	Fully Functional	Normal	NULL
U-MM209	Fully Functional	Normal	NULL
U-MM210	Fully Functional	Normal	NULL
U-MM211	Fully Functional	Normal	NULL
U-MM212	Fully Functional	Normal	NULL
U-MM213	Fully Functional	Normal	NULL
U-MM214	Fully Functional	Normal	NULL
U-MM215	Fully Functional	Normal	NULL
U-MM216	Fully Functional	Normal	NULL
U-MM217	Fully Functional	Normal	NULL
U-MM218	Not Functional	No Utilization	NULL
U-MM219	Not Functional	No Utilization	NULL
U-MM220	Fully Functional	Normal	NULL
U-MM221	Fully Functional	Normal	NULL
U-MM222	Fully Functional	Normal	NULL
U-MM223	Fully Functional	Normal	NULL
U-MM224	Fully Functional	Normal	NULL
U-MM225	Fully Functional	Normal	NULL
U-MM226	Fully Functional	Normal	NULL
U-MM227	Fully Functional	Normal	NULL
U-MM228	Fully Functional	Normal	NULL
U-MM229	Fully Functional	Normal	NULL
U-MM230	Fully Functional	Normal	NULL
U-MM231	Fully Functional	Normal	NULL
U-MM232	Fully Functional	Normal	NULL
U-MM233	Fully Functional	Normal	NULL
U-MM234	Fully Functional	Normal	NULL
U-MM235	Fully Functional	Normal	NULL
U-MM236	Fully Functional	Normal	NULL
U-MM237	Fully Functional	Normal	NULL
U-MM238	Fully Functional	Normal	NULL
U-MM239	Fully Functional	Normal	NULL
U-MM240	Not Functional	No Utilization	NULL
U-MM241	Fully Functional	Normal	NULL
U-MM242	Fully Functional	Normal	NULL
U-MM243	Fully Functional	Normal	NULL
U-MM244	Fully Functional	Very Low	NULL
U-MM245	Fully Functional	Very Low	NULL
U-MM246	Fully Functional	Very Low	foot operated - user does not enjoy it
U-MM247	Fully Functional	Very Low	foot operated - user does not enjoy it
U-MM248	Fully Functional	Normal	NULL
U-MM249	Not Functional	No Utilization	NULL
U-MM250	Not Functional	No Utilization	new bedside monitors used instead, battery failed
U-MM251	Needs Major Repair	No Utilization	runs for 15 min before switching off; minor repair in aug 2012; runs continuously but makes loud noise
U-MM252	Not Functional	No Utilization	NULL
U-MM253	Fully Functional	Very Low	Brought to other departments for use
U-MM254	Fully Functional	No Utilization	new bedside monitors used instead, battery failed
U-MM255	Not Functional	Very Low	NULL
U-MM256	Not Functional	No Utilization	NULL
U-MM257	Fully Functional	Normal	NULL
U-MM258	Fully Functional	Normal	NULL
U-MM259	Fully Functional	Normal	NULL
U-MM260	Fully Functional	Normal	New bedside monitors used
U-MM261	Fully Functional	Normal	NULL
U-MM262	Fully Functional	Normal	NULL
U-MM263	Fully Functional	Normal	NULL
U-MM264	Fully Functional	Normal	NULL
U-MM265	Fully Functional	Normal	NULL
U-MM266	Fully Functional	Normal	NULL
U-MM267	Fully Functional	Normal	NULL
U-MM268	Fully Functional	Normal	NULL
U-MM269	Fully Functional	Normal	NULL
U-MM270	Fully Functional	Normal	NULL
U-MM271	Fully Functional	Normal	NULL
U-MM272	Fully Functional	Normal	NULL
U-MM273	Fully Functional	Normal	NULL
U-MM274	Fully Functional	Normal	NULL
U-MM275	Fully Functional	Normal	NULL
U-MM276	Fully Functional	Normal	NULL
U-MM277	Fully Functional	Normal	NULL
U-MM278	Fully Functional	Normal	NULL
U-MM279	Fully Functional	Normal	NULL
U-MM280	Not Functional	No Utilization	NULL
U-MM281	Fully Functional	Normal	NULL
U-MM282	Fully Functional	Normal	NULL
U-MM283	Fully Functional	Normal	NULL
U-MM284	Needs Minor Repair	Normal	3 out of 6 screens working
U-MM285	Fully Functional	Normal	NULL
U-MM286	Fully Functional	Normal	NULL
U-MM287	Fully Functional	Normal	NULL
U-MM288	Fully Functional	Normal	NULL
U-MM289	Fully Functional	Normal	NULL
U-MM290	Fully Functional	Normal	NULL
U-MM291	Fully Functional	Normal	NULL
U-MM292	Fully Functional	Normal	NULL
U-MM293	Fully Functional	Normal	NULL
U-MM294	Fully Functional	Normal	NULL
U-MM295	Not Functional	No Utilization	NULL
U-MM296	Fully Functional	Normal	NULL
U-MM297	Needs Minor Repair	No Utilization	NULL
U-MM298	Needs Minor Repair	Normal	NULL
U-MM299	Needs Minor Repair	Normal	Head rest broken
U-MM300	Needs Major Repair	Normal	Light bulb is not working, water jet not working, chair position cannot be adjusted
U-MM301	Fully Functional	Normal	NULL
U-MM302	Not Functional	No Utilization	NULL
U-MM303	Not Functional	No Utilization	NULL
U-MM304	Not Functional	No Utilization	NULL
U-MM305	Fully Functional	Normal	NULL
U-MM306	Needs Major Repair	Normal	Does not heat up, just used for storing neonates
U-MM307	Needs Major Repair	Normal	Does not heat up, just used for storing neonates
U-MM308	Fully Functional	Normal	NULL
U-MM309	Fully Functional	Normal	NULL
U-MM310	Fully Functional	Normal	NULL
U-MM311	Fully Functional	Normal	NULL
U-MM312	Fully Functional	Normal	NULL
U-MM313	Not Functional	No Utilization	NULL
U-MM314	Fully Functional	Normal	NULL
U-MM315	Not Functional	No Utilization	NULL
U-MM316	Needs Minor Repair	Normal	Switches off sometimes, needs reboot
U-MM317	Not Functional	Normal	NULL
U-MM318	Fully Functional	Normal	NULL
U-MM319	Fully Functional	Normal	NULL
U-MM320	Fully Functional	Normal	NULL
U-MM321	Fully Functional	Normal	NULL
U-MM322	Fully Functional	Normal	NULL
U-MM323	Fully Functional	Normal	NULL
U-MM324	Needs Minor Repair	Normal	NULL
U-MM325	Needs Minor Repair	Normal	NULL
U-MM326	Needs Minor Repair	Normal	NULL
U-MM327	Not Functional	No Utilization	NULL
U-MM328	Fully Functional	Normal	NULL
U-MM329	Fully Functional	Normal	NULL
U-MM330	Fully Functional	Normal	NULL
U-MM331	Fully Functional	Normal	NULL
U-MM332	Fully Functional	Normal	NULL
U-MM333	Fully Functional	Normal	NULL
U-MM334	Fully Functional	Normal	NULL
U-MM335	Fully Functional	Normal	NULL
U-MM336	Fully Functional	Normal	NULL
U-MM337	Fully Functional	Normal	NULL
U-MM338	Fully Functional	Normal	NULL
U-MM339	Fully Functional	Normal	NULL
U-MM340	Fully Functional	Normal	NULL
U-MM341	Fully Functional	Normal	NULL
U-MM342	Fully Functional	Normal	NULL
U-MM343	Fully Functional	Normal	NULL
U-MM344	Fully Functional	Normal	NULL
U-MM345	Fully Functional	Normal	NULL
U-MM346	Needs Major Repair	Normal	Lamp does not stabilize- medchanical fault, needs to be propped for use
U-MM347	Fully Functional	Normal	NULL
U-MM348	Fully Functional	Normal	NULL
U-MM349	Fully Functional	Normal	Low vacuum, inconsistent functioning, sent to HCEU repeatedly, Annudha: +255222122745/7
U-MM350	Fully Functional	Normal	NULL
U-MM351	Fully Functional	Normal	NULL
U-MM352	Fully Functional	Normal	NULL
U-MM353	Fully Functional	Normal	NULL
U-MM354	Needs Minor Repair	Normal	mechanical failure for wheels. Lab Equip came once during warranty period. Second time of breakage was after warranty
U-MM355	Fully Functional	Normal	NULL
U-MM356	Fully Functional	Normal	NULL
U-MM357	Fully Functional	Normal	NULL
U-MM358	Needs Major Repair	No Utilization	EKG functioning, defibs not
U-MM359	Fully Functional	Normal	NULL
U-MM360	Needs Major Repair	Normal	Lamp does not stabilize- medchanical fault, needs to be propped for use
U-MM361	Fully Functional	Normal	NULL
U-MM362	Fully Functional	Normal	NULL
U-MM363	Needs Major Repair	Normal	Fan is broken
U-MM364	Needs Minor Repair	Very High	Sometimes doesn't go up and down, stiff pedal
U-MM365	Not Functional	No Utilization	Gives incorrect measurements
U-MM366	Not Functional	No Utilization	Measurements for heart rate, arterial pressure, systolic and diastolic are incorrect
U-MM367	Not Functional	No Utilization	NULL
U-MM368	Fully Functional	Normal	NULL
U-MM369	Fully Functional	Normal	NULL
U-MM370	Not Functional	No Utilization	NULL
U-MM371	Not Functional	No Utilization	NULL
U-MM372	Not Functional	No Utilization	NULL
U-MM373	Not Functional	No Utilization	NULL
U-MM374	Fully Functional	Normal	NULL
U-MM375	Fully Functional	Normal	NULL
U-MM376	Fully Functional	Normal	NULL
U-MM377	Fully Functional	Normal	NULL
U-MM378	Needs Major Repair	Normal	Heating lamp not working
U-MM379	Needs Minor Repair	Normal	Vacuum strength not high enough
U-MM380	Needs Minor Repair	Normal	Vacuum strength not high enough
U-MM381	Not Functional	No Utilization	Missing motor, incomplete set
U-MM382	Fully Functional	No Utilization	NULL
U-MM383	Fully Functional	Normal	NULL
U-MM384	Fully Functional	Normal	NULL
U-MM385	Fully Functional	Normal	NULL
U-MM386	Fully Functional	Normal	NULL
U-MM387	Fully Functional	Normal	NULL
U-MM388	Fully Functional	Normal	NULL
U-MM389	Fully Functional	Normal	NULL
U-MM390	Fully Functional	Normal	NULL
U-MM391	Fully Functional	Normal	NULL
U-MM392	Needs Major Repair	Very Low	Electronic controls not working, used when 2 evacuation procedures are needed
U-MM393	Needs Minor Repair	Normal	NULL
U-MM394	Fully Functional	Normal	NULL
U-MM395	Needs Minor Repair	Normal	Works sometimes
U-MM396	Fully Functional	Normal	NULL
U-MM397	Fully Functional	Normal	NULL
U-MM398	Needs Minor Repair	Very Low	Hard to use, stiff
U-MM399	Needs Minor Repair	No Utilization	NULL
U-MM400	Not Functional	No Utilization	NULL
U-MM401	Fully Functional	Normal	NULL
U-MM402	Needs Minor Repair	No Utilization	NULL
U-MM403	Needs Minor Repair	No Utilization	Hard to use, stiff
U-MM404	Fully Functional	Normal	Hard to use, stiff
U-MM405	Fully Functional	Normal	NULL
U-MM406	Not Functional	No Utilization	NULL
U-MM407	Not Functional	No Utilization	NULL
U-MM408	Fully Functional	Normal	NULL
U-MM409	Fully Functional	Normal	NULL
U-MM410	Fully Functional	Normal	NULL
U-MM411	Not Functional	No Utilization	NULL
U-MM412	Fully Functional	Normal	NULL
U-MM413	Fully Functional	Normal	NULL
U-MM414	Fully Functional	Normal	NULL
U-MM415	Not Functional	No Utilization	NULL
U-MM416	Fully Functional	Normal	NULL
U-MM417	Fully Functional	Normal	NULL
U-MM418	Needs Major Repair	Normal	NULL
U-MM419	Needs Major Repair	Normal	CO2 Absorber switch not working well
U-MM420	Not Functional	No Utilization	Works on and off, piping to oxygen tank does not connect
U-MM421	Fully Functional	Normal	Wrong vaporizer? Piping to oxygen does not connect
U-MM422	Fully Functional	Normal	NULL
U-MM423	Fully Functional	Normal	NULL
U-MM424	Fully Functional	Normal	NULL
U-MM425	Fully Functional	Normal	NULL
U-MM426	Fully Functional	Normal	NULL
U-MM427	Needs Major Repair	No Utilization	NULL
U-MM428	Not Functional	No Utilization	Water leakage
U-MM429	Fully Functional	Normal	NULL
U-MM430	Fully Functional	No Utilization	NULL
U-MM431	Fully Functional	Normal	Not used because ultrasound is not used
U-MM432	Fully Functional	Normal	NULL
U-MM433	Not Functional	No Utilization	NULL
U-MM434	Not Functional	No Utilization	NULL
U-MM435	Not Functional	No Utilization	NULL
U-MM436	Fully Functional	Normal	NULL
U-MM437	Not Functional	No Utilization	NULL
U-MM438	Not Functional	No Utilization	NULL
U-MM439	Not Functional	No Utilization	Should be disposed
U-MM440	Fully Functional	Normal	NULL
U-MM441	Fully Functional	Normal	NULL
U-MM442	Fully Functional	Normal	NULL
U-MM443	Fully Functional	Normal	NULL
U-MM444	Fully Functional	Normal	NULL
U-MM445	Fully Functional	No Utilization	NULL
U-MM446	Fully Functional	Normal	No reagents
U-MM447	Not Functional	No Utilization	NULL
U-MM448	Not Functional	Normal	probe doesn't function
U-MM449	Fully Functional	Normal	NULL
U-MM450	Not Functional	No Utilization	NULL
U-MM451	Not Functional	No Utilization	Should be disposed
U-MM452	Not Functional	No Utilization	NULL
U-MM453	Fully Functional	No Utilization	NULL
U-MM454	Fully Functional	Normal	NULL
U-MM455	Fully Functional	Normal	NULL
U-MM456	Fully Functional	Normal	NULL
U-MM457	Fully Functional	Normal	NULL
U-MM458	Fully Functional	Normal	NULL
U-MM459	Fully Functional	Normal	NULL
U-MM460	Fully Functional	Normal	NULL
U-MM461	Fully Functional	Normal	NULL
U-MM462	Fully Functional	Normal	NULL
U-MM463	Not Functional	No Utilization	NULL
U-MM464	Not Functional	No Utilization	NULL
U-MM465	Not Functional	No Utilization	NULL
U-MM466	Not Functional	No Utilization	NULL
U-MM467	Not Functional	No Utilization	NULL
U-MM468	Fully Functional	No Utilization	NULL
U-MM469	Fully Functional	No Utilization	NULL
U-MM470	Not Functional	No Utilization	NULL
U-MM471	Not Functional	No Utilization	Irreparable
U-MM472	Fully Functional	No Utilization	mmHg meter is broken
U-MM473	Fully Functional	No Utilization	NULL
U-MM474	Not Functional	No Utilization	NULL
U-MM475	Fully Functional	No Utilization	Capacitor broken
U-MM476	Fully Functional	No Utilization	NULL
U-MM477	Fully Functional	Normal	NULL
U-MM478	Fully Functional	No Utilization	NULL
U-MM479	Needs Minor Repair	No Utilization	NULL
U-MM480	Fully Functional	No Utilization	Functional but leaky cuff
U-MM481	Fully Functional	No Utilization	NULL
U-MM482	Fully Functional	No Utilization	Missing 1 9V Battery
U-MM483	Fully Functional	No Utilization	Missing 1 9V Battery
U-MM484	Fully Functional	Normal	Missing 2 AA Batteries
U-MM485	Fully Functional	Normal	NULL
U-MM486	Fully Functional	No Utilization	NULL
U-MM487	Fully Functional	No Utilization	Not used because scanner not functional. +255 222701032 (Supplier and Service coy no.)
U-MM488	Fully Functional	No Utilization	Not used because scanner not functional. 
U-MM489	Fully Functional	No Utilization	Not used because scanner not functional. 
U-MM490	Not Functional	No Utilization	Not used because scanner not functional. +255 222701032 (Supplier and Service coy no.)
U-MM491	Fully Functional	No Utilization	X-Ray tube needs to be replaced
U-MM492	Fully Functional	Normal	Not used because scanner not functional. +255 222701032 (Supplier and Service coy no.)
U-MM493	Fully Functional	Normal	NULL
U-MM494	Fully Functional	Normal	NULL
U-MM495	Needs Minor Repair	Normal	NULL
U-MM496	Needs Minor Repair	Normal	No batteries, bust still works for intubation. Flashlight function does not work. Needs 2 AA Batteries
U-MM497	Needs Minor Repair	Normal	No batteries, bust still works for intubation. Flashlight function does not work. Needs 2 AA Batteries
U-MM498	Fully Functional	No Utilization	No batteries, bust still works for intubation. Flashlight function does not work. Needs 2 AA Batteries
U-MM499	Fully Functional	No Utilization	Autoclave in maternity main corridor is used instead. 1 is enough for each department.
U-MM500	Not Functional	No Utilization	Autoclave in maternity main corridor is used instead. 1 is enough for each department.
U-MM501	Fully Functional	No Utilization	NULL
U-MM502	Not Functional	No Utilization	NULL
U-MM503	Fully Functional	Normal	NULL
U-MM504	Not Functional	No Utilization	NULL
U-MM505	Fully Functional	Normal	NULL
U-MM506	Not Functional	No Utilization	NULL
U-MM507	Not Functional	No Utilization	Waiting for sparepart (24V output power supplier)
U-MM508	Not Functional	No Utilization	Awaiting functional monitor. Funder contact: pierlorenzo.costa@tin.it
U-MM509	Not Functional	No Utilization	NULL
U-MM510	Not Functional	No Utilization	NULL
U-MM511	Not Functional	No Utilization	NULL
